erp_id,date,merchant_name,amount,currency,tax_line_item
ERP-0001,2026-07-01,Razorpay Software,849.86,INR,152.97
ERP-0002,2026-07-02,Acme Retail India,1165.41,INR,209.77
ERP-0003,2026-07-03,Nimbus Cloud Services,668.43,INR,120.32
ERP-0004,2026-07-04,Green Basket Foods,1012.59,INR,182.27
ERP-0005,2026-07-05,Northstar Electronics,195.73,USD,15.66
ERP-0006,2026-07-06,Urban Mobility Labs,1024.17,INR,184.35
ERP-0007,2026-07-07,Mango Tree Wellness,399.15,INR,71.85
ERP-0008,2026-07-08,Bluebird Education,91.35,INR,16.44
ERP-0009,2026-07-09,Razorpay Software,413.01,INR,74.34
ERP-0010,2026-07-10,Acme Retail India,830.69,USD,66.46
ERP-0011,2026-07-11,Nimbus Cloud Services,828.51,INR,149.13
ERP-0012,2026-07-12,Green Basket Foods,701.84,INR,126.33
ERP-0013,2026-07-13,Northstar Electronics,982.66,INR,176.88
ERP-0014,2026-07-14,Urban Mobility Labs,371.34,INR,66.84
ERP-0015,2026-07-15,Mango Tree Wellness,412.67,USD,33.01
ERP-0016,2026-07-16,Bluebird Education,214.95,INR,38.69
ERP-0017,2026-07-17,Razorpay Software,522.49,INR,94.05
ERP-0018,2026-07-18,Acme Retail India,1166.8,INR,210.02
ERP-0019,2026-07-19,Nimbus Cloud Services,901.36,INR,162.24
ERP-0020,2026-07-20,Green Basket Foods,1102.36,USD,88.19
ERP-0021,2026-07-21,Northstar Electronics,36.63,INR,6.59
ERP-0022,2026-07-22,Urban Mobility Labs,795.98,INR,143.28
ERP-0023,2026-07-01,Mango Tree Wellness,880.41,INR,158.47
ERP-0024,2026-07-02,Bluebird Education,597.08,INR,107.47
ERP-0025,2026-07-03,Razorpay Software,872.51,USD,69.8
ERP-0026,2026-07-04,Acme Retail India,427.06,INR,76.87
ERP-0027,2026-07-05,Nimbus Cloud Services,24.12,INR,4.34
ERP-0028,2026-07-06,Green Basket Foods,1126.93,INR,202.85
ERP-0029,2026-07-07,Northstar Electronics,759.81,INR,136.77
ERP-0030,2026-07-08,Urban Mobility Labs,259.02,USD,20.72
ERP-0031,2026-07-09,Mango Tree Wellness,528.68,INR,95.16
ERP-0032,2026-07-10,Bluebird Education,669.27,INR,120.47
ERP-0033,2026-07-11,Razorpay Software,199.15,INR,35.85
ERP-0034,2026-07-12,Acme Retail India,648.72,INR,116.77
ERP-0035,2026-07-13,Nimbus Cloud Services,714.14,USD,57.13
ERP-0036,2026-07-14,Green Basket Foods,274.72,INR,49.45
ERP-0037,2026-07-15,Northstar Electronics,666.19,INR,119.91
ERP-0038,2026-07-16,Urban Mobility Labs,617.84,INR,111.21
ERP-0039,2026-07-17,Mango Tree Wellness,564.33,INR,101.58
ERP-0040,2026-07-18,Bluebird Education,67.68,USD,5.41
ERP-0041,2026-07-19,Razorpay Software,163.06,INR,29.35
ERP-0042,2026-07-20,Acme Retail India,798.55,INR,143.74
ERP-0043,2026-07-21,Nimbus Cloud Services,925.16,INR,166.53
ERP-0044,2026-07-22,Green Basket Foods,320.15,INR,57.63
ERP-0045,2026-07-01,Northstar Electronics,1153.94,USD,92.32
ERP-0046,2026-07-02,Urban Mobility Labs,1038.14,INR,186.87
ERP-0047,2026-07-03,Mango Tree Wellness,874.82,INR,157.47
ERP-0048,2026-07-04,Bluebird Education,966.77,INR,174.02
ERP-0049,2026-07-05,Razorpay Software,677.81,INR,122.01
ERP-0050,2026-07-06,Acme Retail India,170.16,USD,13.61
ERP-0051,2026-07-07,Nimbus Cloud Services,96.34,INR,17.34
ERP-0052,2026-07-08,Green Basket Foods,107.63,INR,19.37
ERP-0053,2026-07-09,Northstar Electronics,309.84,INR,55.77
ERP-0054,2026-07-10,Urban Mobility Labs,393.99,INR,70.92
ERP-0055,2026-07-11,Mango Tree Wellness,97.96,USD,7.84
ERP-0056,2026-07-12,Bluebird Education,103.02,INR,18.54
ERP-0057,2026-07-13,Razorpay Software,152.6,INR,27.47
ERP-0058,2026-07-14,Acme Retail India,469.68,INR,84.54
ERP-0059,2026-07-15,Nimbus Cloud Services,196.19,INR,35.31
ERP-0060,2026-07-16,Green Basket Foods,735.96,USD,58.88
