bank_ref,settlement_date,description,net_amount,fee_deducted
BNK-00001,2026-07-01,Razorpay Software ERP-0001 SETTLEMENT,706.23,0.0
BNK-00051,2026-07-09,NIMBUS CLOUD / CARD PAYOUT,839.16,7.17
BNK-00039,2026-07-19,MANGO TREE WELLNESS / CARD PAYOUT,61.9,0.53
BNK-00002,2026-07-03,ACME RETAIL SETTLEMENT,181.37,1.94
BNK-00016,2026-07-16,Bluebird Education ERP-0016 SETTLEMENT,664.11,0.0
BNK-00008,2026-07-09,BLUEBIRD EDU SETTLEMENT,234.78,2.51
BNK-00034,2026-07-12,Acme Retail India ERP-0034 SETTLEMENT,1109.3,0.0
BNK-00035,2026-07-14,NIMBUS CLOUD SETTLEMENT,731.89,8.57
BNK-00010,2026-07-10,Acme Retail India ERP-0010 SETTLEMENT,367.82,0.0
BNK-00007,2026-07-07,Mango Tree Wellness ERP-0007 SETTLEMENT,203.88,0.0
BNK-UNMATCHED-001,2026-08-02,UNKNOWN MERCHANT 01,582.3,1.99
BNK-00012,2026-07-14,GREEN BASKET / CARD PAYOUT,984.1,8.41
BNK-00049,2026-07-05,Razorpay Software ERP-0049 SETTLEMENT,1003.71,0.0
BNK-00037,2026-07-15,Northstar Electronics ERP-0037 SETTLEMENT,39.09,0.0
BNK-00030,2026-07-10,URBAN MOBILITY / CARD PAYOUT,967.79,9.04
BNK-00042,2026-07-22,ACME RETAIL / CARD PAYOUT,971.71,8.31
BNK-00032,2026-07-11,BLUEBIRD EDU SETTLEMENT,174.87,1.87
BNK-UNMATCHED-002,2026-08-03,UNKNOWN MERCHANT 02,266.16,1.11
BNK-00006,2026-07-08,URBAN MOBILITY / CARD PAYOUT,1088.69,9.31
BNK-00052,2026-07-08,Green Basket Foods ERP-0052 SETTLEMENT,394.51,0.0
BNK-UNMATCHED-005,2026-08-06,UNKNOWN MERCHANT 05,183.69,2.58
BNK-00009,2026-07-11,RZPAY PVT LTD / CARD PAYOUT,20.48,0.17
BNK-00031,2026-07-09,Mango Tree Wellness ERP-0031 SETTLEMENT,465.24,0.0
BNK-UNMATCHED-006,2026-08-07,UNKNOWN MERCHANT 06,232.79,4.22
BNK-00043,2026-07-21,Nimbus Cloud Services ERP-0043 SETTLEMENT,76.19,0.0
BNK-UNMATCHED-004,2026-08-05,UNKNOWN MERCHANT 04,259.5,3.59
BNK-00014,2026-07-15,URBAN MOBILITY SETTLEMENT,368.68,3.95
BNK-00025,2026-07-03,Razorpay Software ERP-0025 SETTLEMENT,508.65,0.0
BNK-00044,2026-07-23,GREEN BASKET SETTLEMENT,274.66,2.94
BNK-UNMATCHED-003,2026-08-04,UNKNOWN MERCHANT 03,350.89,1.72
BNK-00027,2026-07-07,NIMBUS CLOUD / CARD PAYOUT,83.67,0.72
BNK-00024,2026-07-04,BLUEBIRD EDU / CARD PAYOUT,1272.21,10.87
BNK-00015,2026-07-17,MANGO TREE WELLNESS / CARD PAYOUT,116.97,1.09
BNK-UNMATCHED-008,2026-08-09,UNKNOWN MERCHANT 08,375.52,3.34
BNK-00045,2026-07-03,NORTHSTAR ELEC / CARD PAYOUT,908.67,8.49
BNK-00013,2026-07-13,Northstar Electronics ERP-0013 SETTLEMENT,1080.01,0.0
BNK-00022,2026-07-22,Urban Mobility Labs ERP-0022 SETTLEMENT,482.96,0.0
BNK-00026,2026-07-05,ACME RETAIL SETTLEMENT,1002.93,10.74
BNK-00018,2026-07-20,ACME RETAIL / CARD PAYOUT,1007.5,8.61
BNK-00050,2026-07-07,ACME RETAIL SETTLEMENT,1214.04,14.22
BNK-00011,2026-07-12,NIMBUS CLOUD SETTLEMENT,538.48,5.77
BNK-00047,2026-07-04,MANGO TREE WELLNESS SETTLEMENT,566.22,6.06
BNK-00046,2026-07-02,Urban Mobility Labs ERP-0046 SETTLEMENT,274.18,0.0
BNK-00036,2026-07-16,GREEN BASKET / CARD PAYOUT,1247.6,10.66
BNK-00003,2026-07-05,NIMBUS CLOUD / CARD PAYOUT,213.7,1.83
BNK-00041,2026-07-20,RZPAY PVT LTD SETTLEMENT,517.73,5.54
BNK-00004,2026-07-04,Green Basket Foods ERP-0004 SETTLEMENT,763.46,0.0
BNK-00038,2026-07-17,URBAN MOBILITY SETTLEMENT,604.9,6.48
BNK-00019,2026-07-19,Nimbus Cloud Services ERP-0019 SETTLEMENT,902.14,0.0
BNK-00028,2026-07-06,Green Basket Foods ERP-0028 SETTLEMENT,763.72,0.0
BNK-00033,2026-07-13,RZPAY PVT LTD / CARD PAYOUT,403.73,3.45
BNK-00048,2026-07-06,BLUEBIRD EDU / CARD PAYOUT,1293.84,11.06
BNK-00029,2026-07-08,NORTHSTAR ELEC SETTLEMENT,209.29,2.24
BNK-00021,2026-07-23,NORTHSTAR ELEC / CARD PAYOUT,48.62,0.42
BNK-00005,2026-07-06,NORTHSTAR ELEC SETTLEMENT,1091.23,12.78
BNK-00020,2026-07-21,GREEN BASKET SETTLEMENT,866.19,10.14
BNK-00040,2026-07-18,Bluebird Education ERP-0040 SETTLEMENT,1184.05,0.0
BNK-00017,2026-07-18,RZPAY PVT LTD SETTLEMENT,793.06,8.49
BNK-UNMATCHED-007,2026-08-08,UNKNOWN MERCHANT 07,482.8,2.31
BNK-00023,2026-07-02,MANGO TREE WELLNESS SETTLEMENT,1418.75,15.19
