erp_id,date,merchant_name,amount,currency,tax_line_item
ERP-0001,2026-07-01,Razorpay Software,706.23,INR,127.12
ERP-0002,2026-07-02,Acme Retail India,155.35,INR,27.96
ERP-0003,2026-07-03,Nimbus Cloud Services,182.64,INR,32.88
ERP-0004,2026-07-04,Green Basket Foods,763.46,INR,137.42
ERP-0005,2026-07-05,Northstar Electronics,1022.23,USD,81.78
ERP-0006,2026-07-06,Urban Mobility Labs,930.5,INR,167.49
ERP-0007,2026-07-07,Mango Tree Wellness,203.88,INR,36.7
ERP-0008,2026-07-08,Bluebird Education,201.09,INR,36.2
ERP-0009,2026-07-09,Razorpay Software,17.49,INR,3.15
ERP-0010,2026-07-10,Acme Retail India,367.82,USD,29.43
ERP-0011,2026-07-11,Nimbus Cloud Services,461.23,INR,83.02
ERP-0012,2026-07-12,Green Basket Foods,841.1,INR,151.4
ERP-0013,2026-07-13,Northstar Electronics,1080.01,INR,194.4
ERP-0014,2026-07-14,Urban Mobility Labs,315.79,INR,56.84
ERP-0015,2026-07-15,Mango Tree Wellness,109.31,USD,8.74
ERP-0016,2026-07-16,Bluebird Education,664.11,INR,119.54
ERP-0017,2026-07-17,Razorpay Software,679.28,INR,122.27
ERP-0018,2026-07-18,Acme Retail India,861.1,INR,155.0
ERP-0019,2026-07-19,Nimbus Cloud Services,902.14,INR,162.39
ERP-0020,2026-07-20,Green Basket Foods,811.42,USD,64.91
ERP-0021,2026-07-21,Northstar Electronics,41.55,INR,7.48
ERP-0022,2026-07-22,Urban Mobility Labs,482.96,INR,86.93
ERP-0023,2026-07-01,Mango Tree Wellness,1215.2,INR,218.74
ERP-0024,2026-07-02,Bluebird Education,1087.35,INR,195.72
ERP-0025,2026-07-03,Razorpay Software,508.65,USD,40.69
ERP-0026,2026-07-04,Acme Retail India,859.04,INR,154.63
ERP-0027,2026-07-05,Nimbus Cloud Services,71.51,INR,12.87
ERP-0028,2026-07-06,Green Basket Foods,763.72,INR,137.47
ERP-0029,2026-07-07,Northstar Electronics,179.26,INR,32.27
ERP-0030,2026-07-08,Urban Mobility Labs,904.46,USD,72.36
ERP-0031,2026-07-09,Mango Tree Wellness,465.24,INR,83.74
ERP-0032,2026-07-10,Bluebird Education,149.78,INR,26.96
ERP-0033,2026-07-11,Razorpay Software,345.06,INR,62.11
ERP-0034,2026-07-12,Acme Retail India,1109.3,INR,199.67
ERP-0035,2026-07-13,Nimbus Cloud Services,685.61,USD,54.85
ERP-0036,2026-07-14,Green Basket Foods,1066.31,INR,191.94
ERP-0037,2026-07-15,Northstar Electronics,39.09,INR,7.04
ERP-0038,2026-07-16,Urban Mobility Labs,518.12,INR,93.26
ERP-0039,2026-07-17,Mango Tree Wellness,52.9,INR,9.52
ERP-0040,2026-07-18,Bluebird Education,1184.05,USD,94.72
ERP-0041,2026-07-19,Razorpay Software,443.45,INR,79.82
ERP-0042,2026-07-20,Acme Retail India,830.52,INR,149.49
ERP-0043,2026-07-21,Nimbus Cloud Services,76.19,INR,13.71
ERP-0044,2026-07-22,Green Basket Foods,235.25,INR,42.35
ERP-0045,2026-07-01,Northstar Electronics,849.21,USD,67.94
ERP-0046,2026-07-02,Urban Mobility Labs,274.18,INR,49.35
ERP-0047,2026-07-03,Mango Tree Wellness,484.98,INR,87.3
ERP-0048,2026-07-04,Bluebird Education,1105.84,INR,199.05
ERP-0049,2026-07-05,Razorpay Software,1003.71,INR,180.67
ERP-0050,2026-07-06,Acme Retail India,1137.28,USD,90.98
ERP-0051,2026-07-07,Nimbus Cloud Services,717.22,INR,129.1
ERP-0052,2026-07-08,Green Basket Foods,394.51,INR,71.01
ERP-0053,2026-07-09,Northstar Electronics,194.64,INR,35.04
ERP-0054,2026-07-10,Urban Mobility Labs,446.86,INR,80.43
ERP-0055,2026-07-11,Mango Tree Wellness,690.82,USD,55.27
ERP-0056,2026-07-12,Bluebird Education,131.25,INR,23.63
ERP-0057,2026-07-13,Razorpay Software,710.62,INR,127.91
ERP-0058,2026-07-14,Acme Retail India,1205.32,INR,216.96
ERP-0059,2026-07-15,Nimbus Cloud Services,83.72,INR,15.07
ERP-0060,2026-07-16,Green Basket Foods,572.64,USD,45.81
