dataset,record_id,related_record_id,confidence_score,match_type,category,reason,details
erp,ERP-0053,BNK-UNMATCHED-001,0.1,no_match,below_confidence_threshold,Highest LLM confidence score (0.10) was below threshold (0.8).,"{""erp_id"":""ERP-0053"",""date"":""2026-07-09"",""merchant_name"":""Northstar Electronics"",""amount"":309.84,""currency"":""INR"",""tax_line_item"":55.77}"
erp,ERP-0054,BNK-UNMATCHED-002,0.1,no_match,below_confidence_threshold,Highest LLM confidence score (0.10) was below threshold (0.8).,"{""erp_id"":""ERP-0054"",""date"":""2026-07-10"",""merchant_name"":""Urban Mobility Labs"",""amount"":393.99,""currency"":""INR"",""tax_line_item"":70.92}"
erp,ERP-0055,BNK-UNMATCHED-007,0.1,no_match,amount_currency_mismatch,Currency is USD (foreign settlement/currency mismatch).,"{""erp_id"":""ERP-0055"",""date"":""2026-07-11"",""merchant_name"":""Mango Tree Wellness"",""amount"":97.96,""currency"":""USD"",""tax_line_item"":7.84}"
erp,ERP-0056,,0.0,no_match,no_counterpart_found,No candidate bank settlement found in candidate search pool.,"{""erp_id"":""ERP-0056"",""date"":""2026-07-12"",""merchant_name"":""Bluebird Education"",""amount"":103.02,""currency"":""INR"",""tax_line_item"":18.54}"
erp,ERP-0057,,0.0,no_match,no_counterpart_found,No candidate bank settlement found in candidate search pool.,"{""erp_id"":""ERP-0057"",""date"":""2026-07-13"",""merchant_name"":""Razorpay Software"",""amount"":152.6,""currency"":""INR"",""tax_line_item"":27.47}"
erp,ERP-0058,BNK-UNMATCHED-004,0.0,no_match,below_confidence_threshold,Highest LLM confidence score (0.00) was below threshold (0.8).,"{""erp_id"":""ERP-0058"",""date"":""2026-07-14"",""merchant_name"":""Acme Retail India"",""amount"":469.68,""currency"":""INR"",""tax_line_item"":84.54}"
erp,ERP-0059,,0.0,no_match,no_counterpart_found,No candidate bank settlement found in candidate search pool.,"{""erp_id"":""ERP-0059"",""date"":""2026-07-15"",""merchant_name"":""Nimbus Cloud Services"",""amount"":196.19,""currency"":""INR"",""tax_line_item"":35.31}"
erp,ERP-0060,BNK-UNMATCHED-003,0.0,no_match,amount_currency_mismatch,Currency is USD (foreign settlement/currency mismatch).,"{""erp_id"":""ERP-0060"",""date"":""2026-07-16"",""merchant_name"":""Green Basket Foods"",""amount"":735.96,""currency"":""USD"",""tax_line_item"":58.88}"
bank,BNK-UNMATCHED-007,ERP-0055,0.1,no_match,below_confidence_threshold,Evaluated candidate confidence (0.10) was below threshold (0.8).,"{""bank_ref"":""BNK-UNMATCHED-007"",""settlement_date"":""2026-08-08"",""description"":""UNKNOWN MERCHANT 07"",""net_amount"":53.29,""fee_deducted"":2.79}"
bank,BNK-UNMATCHED-005,,0.0,no_match,no_counterpart_found,No candidate ERP transaction found matching bank settlement details.,"{""bank_ref"":""BNK-UNMATCHED-005"",""settlement_date"":""2026-08-06"",""description"":""UNKNOWN MERCHANT 05"",""net_amount"":696.8,""fee_deducted"":3.66}"
bank,BNK-UNMATCHED-004,ERP-0058,0.0,no_match,below_confidence_threshold,Evaluated candidate confidence (0.00) was below threshold (0.8).,"{""bank_ref"":""BNK-UNMATCHED-004"",""settlement_date"":""2026-08-05"",""description"":""UNKNOWN MERCHANT 04"",""net_amount"":564.89,""fee_deducted"":4.17}"
bank,BNK-UNMATCHED-008,,0.0,no_match,no_counterpart_found,No candidate ERP transaction found matching bank settlement details.,"{""bank_ref"":""BNK-UNMATCHED-008"",""settlement_date"":""2026-08-09"",""description"":""UNKNOWN MERCHANT 08"",""net_amount"":881.71,""fee_deducted"":3.98}"
bank,BNK-UNMATCHED-001,ERP-0053,0.1,no_match,below_confidence_threshold,Evaluated candidate confidence (0.10) was below threshold (0.8).,"{""bank_ref"":""BNK-UNMATCHED-001"",""settlement_date"":""2026-08-02"",""description"":""UNKNOWN MERCHANT 01"",""net_amount"":380.8,""fee_deducted"":1.19}"
bank,BNK-UNMATCHED-002,ERP-0054,0.1,no_match,below_confidence_threshold,Evaluated candidate confidence (0.10) was below threshold (0.8).,"{""bank_ref"":""BNK-UNMATCHED-002"",""settlement_date"":""2026-08-03"",""description"":""UNKNOWN MERCHANT 02"",""net_amount"":476.58,""fee_deducted"":1.65}"
bank,BNK-UNMATCHED-006,,0.0,no_match,no_counterpart_found,No candidate ERP transaction found matching bank settlement details.,"{""bank_ref"":""BNK-UNMATCHED-006"",""settlement_date"":""2026-08-07"",""description"":""UNKNOWN MERCHANT 06"",""net_amount"":699.42,""fee_deducted"":4.54}"
bank,BNK-UNMATCHED-003,ERP-0060,0.0,no_match,below_confidence_threshold,Evaluated candidate confidence (0.00) was below threshold (0.8).,"{""bank_ref"":""BNK-UNMATCHED-003"",""settlement_date"":""2026-08-04"",""description"":""UNKNOWN MERCHANT 03"",""net_amount"":816.17,""fee_deducted"":1.93}"
