bank_ref,settlement_date,description,net_amount,fee_deducted
BNK-00022,2026-07-22,Urban Mobility Labs ERP-0022 SETTLEMENT,795.98,0.0
BNK-UNMATCHED-007,2026-08-08,UNKNOWN MERCHANT 07,53.29,2.79
BNK-00045,2026-07-03,NORTHSTAR ELEC / CARD PAYOUT,1234.73,11.54
BNK-00033,2026-07-13,RZPAY PVT LTD / CARD PAYOUT,233.02,1.99
BNK-00017,2026-07-18,RZPAY PVT LTD SETTLEMENT,610.01,6.53
BNK-UNMATCHED-005,2026-08-06,UNKNOWN MERCHANT 05,696.8,3.66
BNK-00013,2026-07-13,Northstar Electronics ERP-0013 SETTLEMENT,982.66,0.0
BNK-00005,2026-07-06,NORTHSTAR ELEC SETTLEMENT,208.94,2.45
BNK-00009,2026-07-11,RZPAY PVT LTD / CARD PAYOUT,483.23,4.13
BNK-00049,2026-07-05,Razorpay Software ERP-0049 SETTLEMENT,677.81,0.0
BNK-00003,2026-07-05,NIMBUS CLOUD / CARD PAYOUT,782.08,6.68
BNK-00027,2026-07-07,NIMBUS CLOUD / CARD PAYOUT,28.23,0.24
BNK-00020,2026-07-21,GREEN BASKET SETTLEMENT,1176.77,13.78
BNK-00042,2026-07-22,ACME RETAIL / CARD PAYOUT,934.31,7.99
BNK-00002,2026-07-03,ACME RETAIL SETTLEMENT,1360.61,14.57
BNK-UNMATCHED-004,2026-08-05,UNKNOWN MERCHANT 04,564.89,4.17
BNK-00047,2026-07-04,MANGO TREE WELLNESS SETTLEMENT,1021.35,10.94
BNK-00015,2026-07-17,MANGO TREE WELLNESS / CARD PAYOUT,441.56,4.13
BNK-00043,2026-07-21,Nimbus Cloud Services ERP-0043 SETTLEMENT,925.16,0.0
BNK-00007,2026-07-07,Mango Tree Wellness ERP-0007 SETTLEMENT,399.15,0.0
BNK-00019,2026-07-19,Nimbus Cloud Services ERP-0019 SETTLEMENT,901.36,0.0
BNK-UNMATCHED-008,2026-08-09,UNKNOWN MERCHANT 08,881.71,3.98
BNK-00035,2026-07-14,NIMBUS CLOUD SETTLEMENT,762.34,8.93
BNK-00012,2026-07-14,GREEN BASKET / CARD PAYOUT,821.16,7.02
BNK-00029,2026-07-08,NORTHSTAR ELEC SETTLEMENT,887.08,9.5
BNK-00050,2026-07-07,ACME RETAIL SETTLEMENT,181.64,2.13
BNK-00014,2026-07-15,URBAN MOBILITY SETTLEMENT,433.54,4.64
BNK-00011,2026-07-12,NIMBUS CLOUD SETTLEMENT,967.28,10.36
BNK-00038,2026-07-17,URBAN MOBILITY SETTLEMENT,721.33,7.72
BNK-00036,2026-07-16,GREEN BASKET / CARD PAYOUT,321.43,2.75
BNK-UNMATCHED-001,2026-08-02,UNKNOWN MERCHANT 01,380.8,1.19
BNK-00039,2026-07-19,MANGO TREE WELLNESS / CARD PAYOUT,660.28,5.64
BNK-00040,2026-07-18,Bluebird Education ERP-0040 SETTLEMENT,67.68,0.0
BNK-00008,2026-07-09,BLUEBIRD EDU SETTLEMENT,106.65,1.14
BNK-00034,2026-07-12,Acme Retail India ERP-0034 SETTLEMENT,648.72,0.0
BNK-00051,2026-07-09,NIMBUS CLOUD / CARD PAYOUT,112.73,0.96
BNK-00028,2026-07-06,Green Basket Foods ERP-0028 SETTLEMENT,1126.93,0.0
BNK-00006,2026-07-08,URBAN MOBILITY / CARD PAYOUT,1198.29,10.24
BNK-00018,2026-07-20,ACME RETAIL / CARD PAYOUT,1365.16,11.67
BNK-UNMATCHED-002,2026-08-03,UNKNOWN MERCHANT 02,476.58,1.65
BNK-00037,2026-07-15,Northstar Electronics ERP-0037 SETTLEMENT,666.19,0.0
BNK-00004,2026-07-04,Green Basket Foods ERP-0004 SETTLEMENT,1012.59,0.0
BNK-UNMATCHED-006,2026-08-07,UNKNOWN MERCHANT 06,699.42,4.54
BNK-00016,2026-07-16,Bluebird Education ERP-0016 SETTLEMENT,214.95,0.0
BNK-00048,2026-07-06,BLUEBIRD EDU / CARD PAYOUT,1131.13,9.67
BNK-00021,2026-07-23,NORTHSTAR ELEC / CARD PAYOUT,42.86,0.37
BNK-00052,2026-07-08,Green Basket Foods ERP-0052 SETTLEMENT,107.63,0.0
BNK-00010,2026-07-10,Acme Retail India ERP-0010 SETTLEMENT,830.69,0.0
BNK-00031,2026-07-09,Mango Tree Wellness ERP-0031 SETTLEMENT,528.68,0.0
BNK-00032,2026-07-11,BLUEBIRD EDU SETTLEMENT,781.37,8.37
BNK-00044,2026-07-23,GREEN BASKET SETTLEMENT,373.78,4.0
BNK-00026,2026-07-05,ACME RETAIL SETTLEMENT,498.59,5.34
BNK-00025,2026-07-03,Razorpay Software ERP-0025 SETTLEMENT,872.51,0.0
BNK-00024,2026-07-04,BLUEBIRD EDU / CARD PAYOUT,698.59,5.97
BNK-00046,2026-07-02,Urban Mobility Labs ERP-0046 SETTLEMENT,1038.14,0.0
BNK-00030,2026-07-10,URBAN MOBILITY / CARD PAYOUT,277.16,2.59
BNK-UNMATCHED-003,2026-08-04,UNKNOWN MERCHANT 03,816.17,1.93
BNK-00001,2026-07-01,Razorpay Software ERP-0001 SETTLEMENT,849.86,0.0
BNK-00041,2026-07-20,RZPAY PVT LTD SETTLEMENT,190.37,2.04
BNK-00023,2026-07-02,MANGO TREE WELLNESS SETTLEMENT,1027.87,11.01
