erp_id,bank_ref,date,settlement_date,merchant_name,description,amount,tax_line_item,net_amount,fee_deducted,match_type,confidence_score,reasoning,source
ERP-0001,BNK-00001,2026-07-01,2026-07-01,Razorpay Software,Razorpay Software ERP-0001 SETTLEMENT,849.86,152.97,849.86,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0004,BNK-00004,2026-07-04,2026-07-04,Green Basket Foods,Green Basket Foods ERP-0004 SETTLEMENT,1012.59,182.27,1012.59,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0007,BNK-00007,2026-07-07,2026-07-07,Mango Tree Wellness,Mango Tree Wellness ERP-0007 SETTLEMENT,399.15,71.85,399.15,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0010,BNK-00010,2026-07-10,2026-07-10,Acme Retail India,Acme Retail India ERP-0010 SETTLEMENT,830.69,66.46,830.69,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0013,BNK-00013,2026-07-13,2026-07-13,Northstar Electronics,Northstar Electronics ERP-0013 SETTLEMENT,982.66,176.88,982.66,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0016,BNK-00016,2026-07-16,2026-07-16,Bluebird Education,Bluebird Education ERP-0016 SETTLEMENT,214.95,38.69,214.95,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0019,BNK-00019,2026-07-19,2026-07-19,Nimbus Cloud Services,Nimbus Cloud Services ERP-0019 SETTLEMENT,901.36,162.24,901.36,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0022,BNK-00022,2026-07-22,2026-07-22,Urban Mobility Labs,Urban Mobility Labs ERP-0022 SETTLEMENT,795.98,143.28,795.98,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0025,BNK-00025,2026-07-03,2026-07-03,Razorpay Software,Razorpay Software ERP-0025 SETTLEMENT,872.51,69.8,872.51,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
ERP-0028,BNK-00028,2026-07-06,2026-07-06,Green Basket Foods,Green Basket Foods ERP-0028 SETTLEMENT,1126.93,202.85,1126.93,0.0,exact,1.0,ERP ID embedded in bank description and amount matched exactly.,deterministic
